# date: 06-Jun-2025 09:40:32
# dateEnd: 06-Jun-2025 13:26:23
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: examples

                             fname                            ; ok ;    seed    ;   time  ; checkTime 
 example_manual_linearARX                                     ;  1 ;  134913687 ;    0.01 ;         1 
 example_manual_linearSys                                     ;  1 ; 3639770288 ;    0.01 ;         1 
 example_manual_linearSysDT                                   ;  1 ;   84371839 ;    0.01 ;         1 
 example_manual_neurNetContrSys                               ;  1 ; 1023483680 ;    0.10 ;         1 
 example_manual_nonlinDASys                                   ;  1 ; 1939318813 ;    0.77 ;         1 
 example_manual_nonlinParamSys                                ;  1 ; 1289871272 ;    0.37 ;         1 
 example_manual_nonlinearSys                                  ;  1 ; 2325185045 ;    0.13 ;         1 
 example_manual_nonlinearSysDT                                ;  1 ; 1485047051 ;    0.05 ;         1 
 example_manual_conform                                       ;  1 ; 2396497189 ;    0.41 ;         1 
 example_manual_observe                                       ;  1 ; 3251464402 ;    0.43 ;         1 
 example_manual_reach                                         ;  1 ; 3104316207 ;    1.41 ;         1 
 example_manual_reachInner                                    ;  1 ; 4057817345 ;   47.59 ;         1 
 example_manual_simulate                                      ;  1 ; 3346610844 ;    0.26 ;         1 
 example_manual_simulateRandom                                ;  1 ; 4266169602 ;    1.35 ;         1 
 example_manual_verify                                        ;  1 ; 1654476704 ;    0.67 ;         1 
 example_manual_bouncing_ball_construction                    ;  1 ; 1593503658 ;    0.06 ;         1 
 example_manual_guard_intersection                            ;  1 ;  155597086 ;    0.30 ;         1 
 example_manual_example_capsule                               ;  1 ; 2063621977 ;    0.17 ;         1 
 example_manual_example_conPolyZono                           ;  1 ; 3327068269 ;   33.64 ;         1 
 example_manual_example_conZonotope_constraints               ;  1 ;  617926948 ;    0.52 ;         1 
 example_manual_example_conZonotope_zonotope                  ;  1 ;   92087514 ;    0.21 ;         1 
 example_manual_example_ellipsoid                             ;  1 ; 3447158848 ;    2.37 ;         1 
 example_manual_example_interval                              ;  1 ; 3184558784 ;    0.15 ;         1 
 example_manual_example_intervalMatrix                        ;  1 ;  667908949 ;    0.07 ;         1 
 example_manual_example_levelSet                              ;  1 ; 3752047384 ;    3.01 ;         1 
 example_manual_example_matPolytope                           ;  1 ; 1057493275 ;    0.07 ;         1 
 example_manual_example_matZonotope                           ;  1 ; 3174514078 ;    0.02 ;         1 
 example_manual_example_polyZonotope                          ;  1 ; 3167801706 ;    0.39 ;         1 
 example_manual_example_polytope                              ;  1 ; 1149897932 ;    0.47 ;         1 
 example_manual_example_probZonotope                          ;  1 ; 2780261527 ;    0.38 ;         1 
 example_manual_example_spectraShadow                         ;  1 ;  172303222 ;    4.11 ;         1 
 example_manual_example_zonoBundle                            ;  1 ;  506825218 ;    0.13 ;         1 
 example_manual_example_zonotope                              ;  1 ; 2780886267 ;    0.34 ;         1 
 example_manual_and                                           ;  1 ; 1287303867 ;    0.13 ;         1 
 example_manual_cartProd                                      ;  1 ;  866318099 ;    0.06 ;         1 
 example_manual_convHull                                      ;  1 ; 2750749529 ;    0.23 ;         1 
 example_manual_cubMap                                        ;  1 ; 4215576567 ;    0.32 ;         1 
 example_manual_enclose                                       ;  1 ;  225853169 ;    9.59 ;         1 
 example_manual_enclosePoints                                 ;  1 ; 3793558976 ;    0.13 ;         1 
 example_manual_enlarge                                       ;  1 ; 1399242310 ;    0.07 ;         1 
 example_manual_generateRandom                                ;  1 ; 3229367602 ;    0.07 ;         1 
 example_manual_linComb                                       ;  1 ;  856563615 ;   26.03 ;         1 
 example_manual_minkDiff                                      ;  1 ; 1472793478 ;    0.11 ;         1 
 example_manual_mtimes                                        ;  1 ;   75247066 ;    0.08 ;         1 
 example_manual_or                                            ;  1 ; 3030166812 ;    0.07 ;         1 
 example_manual_plot                                          ;  1 ; 2646901494 ;    0.07 ;         1 
 example_manual_plus                                          ;  1 ; 4073197980 ;    0.07 ;         1 
 example_manual_quadMap                                       ;  1 ; 2404028074 ;    0.37 ;         1 
 example_manual_randPoint                                     ;  1 ; 3900292883 ;    0.09 ;         1 
 example_manual_reduce                                        ;  1 ; 2491039494 ;    0.07 ;         1 
 example_manual_supportFunc                                   ;  1 ; 1566259245 ;    0.29 ;         1 
 example_manual_contains                                      ;  1 ; 2815140198 ;    0.11 ;         1 
 example_manual_isIntersecting                                ;  1 ; 3614708254 ;    0.06 ;         1 
 example_manual_representsa                                   ;  1 ; 1022826013 ;    0.14 ;         1 
 example_manual_center                                        ;  1 ; 2436523336 ;    0.06 ;         1 
 example_manual_norm                                          ;  1 ; 3742112965 ;    0.06 ;         1 
 example_manual_vertices                                      ;  1 ; 3795536258 ;    0.06 ;         1 
 example_manual_volume                                        ;  1 ; 3996541089 ;    0.06 ;         1 
 example_volume                                               ;  1 ; 1627423804 ;    0.06 ;         1 
 example_manual_capsule                                       ;  1 ; 2566615835 ;    0.07 ;         1 
 example_manual_conPolyZono                                   ;  1 ;  122061403 ;    0.80 ;         1 
 example_manual_conZonotope                                   ;  1 ; 4090941163 ;    0.13 ;         1 
 example_manual_conZonotope_constraints                       ;  1 ; 1533042304 ;    0.31 ;         1 
 example_manual_conZonotope_zonotope                          ;  1 ; 2523846324 ;    0.11 ;         1 
 example_manual_ellipsoid                                     ;  1 ;  517149971 ;    0.06 ;         1 
 example_manual_interval                                      ;  1 ;  708625886 ;    0.06 ;         1 
 example_manual_levelSet                                      ;  1 ; 1820475604 ;    0.45 ;         1 
 example_manual_polyZonotope                                  ;  1 ; 3460985638 ;    0.32 ;         1 
 example_manual_polyZonotope_construction                     ;  1 ; 2757169508 ;    0.82 ;         1 
 example_manual_polytope                                      ;  1 ; 3618086489 ;    0.07 ;         1 
 example_manual_probZonotope                                  ;  1 ; 2672875623 ;    0.20 ;         1 
 example_manual_spectraShadow                                 ;  1 ;  131017171 ;    3.36 ;         1 
 example_manual_taylm                                         ;  1 ;  176409376 ;    0.71 ;         1 
 example_manual_zonoBundle                                    ;  1 ; 4062153672 ;    0.07 ;         1 
 example_manual_zonotope                                      ;  1 ;  949696136 ;    0.06 ;         1 
 example_manual_zonotope_construction                         ;  1 ; 1213693757 ;    0.14 ;         1 
 example_zonotope_construction                                ;  1 ; 2385887249 ;    0.13 ;         1 
 example_manual_matrixSet_expm                                ;  1 ; 3743767148 ;    0.09 ;         1 
 example_manual_matrixSet_mtimes                              ;  1 ; 2223438666 ;    0.09 ;         1 
 example_manual_matrixSet_plus                                ;  1 ;  998086346 ;    0.00 ;         1 
 example_manual_matrixSet_vertices                            ;  1 ; 3974001365 ;    0.05 ;         1 
 example_manual_intervalMatrix                                ;  1 ; 3803317376 ;    0.00 ;         1 
 example_manual_matPolytope                                   ;  1 ; 2224609642 ;    0.00 ;         1 
 example_manual_matZonotope                                   ;  1 ; 4096785298 ;    0.00 ;         1 
 example_intervalMatrix                                       ;  1 ; 3130363870 ;    0.01 ;         1 
 example_matPolytope                                          ;  1 ; 1455267689 ;    0.01 ;         1 
 example_matZonotope                                          ;  1 ; 3818403539 ;    0.01 ;         1 
 example_gnn_uncertain_message_passing                        ;  1 ; 2939385041 ;    2.99 ;         1 
 example_neuralNetwork_cnn                                    ;  1 ;   92169571 ;    7.28 ;         1 
 example_neuralNetwork_evaluate_adaptive                      ;  1 ;  259991287 ;    0.80 ;         1 
 example_neuralNetwork_explain                                ;  1 ; 2444015589 ;  194.89 ;         1 
 example_neuralNetwork_rl_agentDDPG_Quad1D                    ;  1 ;  877173605 ;  368.16 ;         1 
 example_neuralNetwork_train                                  ;  1 ; 2441735944 ;   24.05 ;         1 
 example_neuralNetwork_verify_safe                            ;  1 ; 2982963999 ;    1.79 ;         1 
 example_neuralNetwork_verify_unsafe                          ;  1 ; 3330804386 ;    2.34 ;         1 
 example_nnActivationLayer_enclosure_01_regression            ;  1 ;  797233095 ;    0.40 ;         1 
 example_nnActivationLayer_enclosure_02_comparison            ;  1 ;  654371489 ;    0.24 ;         1 
 example_stl_bouncingBall                                     ;  1 ; 1009411487 ;   13.12 ;         1 
 example_stl_geneticOscillator                                ;  1 ;  376816538 ;    0.01 ;         1 
 example_stl_roomHeating                                      ;  1 ;  612930406 ;   22.99 ;         1 


