# date: 25-Aug-2025 12:55:09
# dateEnd: 25-Aug-2025 13:13:25
# hostsystem: Windows
# matlabversion: 25.1.0.2973910 (R2025a) Update 1
# coraversion: CORA v2025.2.0
# testSuite: short

                          fname                          ; ok ;    seed    ;  time ; checkTime 
 test_fullspace_display                                  ;  1 ; 4091651931 ;  0.02 ;         1 
 test_fullspace_enclosePoints                            ;  1 ; 2830103668 ;  0.01 ;         1 
 test_fullspace_eq                                       ;  1 ; 3876818425 ;  0.05 ;         1 
 test_fullspace_fullspace                                ;  1 ; 4253272657 ;  0.01 ;         1 
 test_fullspace_generateRandom                           ;  1 ; 3090330192 ;  0.01 ;         1 
 test_fullspace_interval                                 ;  1 ; 1676171837 ;  0.02 ;         1 
 test_fullspace_isBounded                                ;  1 ; 1561136580 ;  0.01 ;         1 
 test_fullspace_isFullDim                                ;  1 ; 2185761627 ;  0.00 ;         1 
 test_fullspace_isIntersecting                           ;  1 ; 3833641812 ;  0.04 ;         1 
 test_fullspace_isemptyobject                            ;  1 ;   89317389 ;  0.00 ;         1 
 test_fullspace_isequal                                  ;  1 ; 2538645412 ;  0.02 ;         1 
 test_fullspace_lift                                     ;  1 ; 1169222358 ;  0.03 ;         1 
 test_fullspace_mtimes                                   ;  1 ; 1217680610 ;  0.05 ;         1 
 test_fullspace_ne                                       ;  1 ; 1814628327 ;  0.03 ;         1 
 test_fullspace_not                                      ;  1 ; 1671847165 ;  0.03 ;         1 
 test_fullspace_plot                                     ;  1 ; 2308107637 ;  2.42 ;         1 
 test_fullspace_plus                                     ;  1 ; 3246001328 ;  0.06 ;         1 
 test_fullspace_polygon                                  ;  1 ; 3201589516 ;  0.04 ;         1 
