# date: 06-Jun-2025 07:58:48
# dateEnd: 06-Jun-2025 09:29:25
# hostsystem: Unix
# matlabversion: 24.2.0.2712019 (R2024b)
# coraversion: CORA v2025.1.1
# testSuite: long

                              fname                             ; ok ;    seed    ;  time  ; checkTime 
 testLong_parallelHybridAutomaton_mergeFlows_02                 ;  1 ; 2110230089 ;   2.14 ;         1 
 testLong_parallelHybridAutomaton_mergeInvariants_01            ;  1 ;   92983448 ;   2.16 ;         1 
 testLong_parallelHybridAutomaton_mergeTransitionSets_01        ;  1 ; 2434534988 ;   8.89 ;         1 
 testLong_parallelHybridAutomaton_reach_comparison              ;  1 ; 1141612412 ;   8.64 ;         1 
 testLong_parallelHybridAutomaton_simulateRandom                ;  1 ;  531648844 ;  33.44 ;         1 
 testLong_transition_lift                                       ;  1 ; 4068592469 ;   3.80 ;         1 
 testLong_matZonotope_norm                                      ;  1 ; 1588557299 ;   0.20 ;         1 
 testLong_pointSegmentSignal_set                                ;  1 ; 3083227316 ; 123.76 ;         1 
 testLong_stl_modelCheckReachSet_01                             ;  1 ; 3644845952 ;  28.60 ;         1 
 testLong_stl_modelCheckReachSet_02                             ;  1 ; 3582714330 ;   1.73 ;         1 
 testLong_stl_modelCheckReachSet_oscillator                     ;  1 ;  185792511 ;  73.16 ;         1 
 testLong_stl_modelChecking_bouncingBall                        ;  1 ; 4093370572 ;  13.66 ;         1 
 testLong_stl_verifySTL_bouncingBall                            ;  1 ; 2815515019 ;  14.54 ;         1 


